trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l3_RIGHT,128,60,REDGOAL,451.2363245276953,258.90574469211845,3,2.8999999999999977
contain_sc1_var_l1_complex_l3_RIGHT,129,60,REDGOAL,454.93935136748064,243.90878802019847,3,2.8999999999999977
contain_sc1_var_l1_complex_l3_RIGHT,130,60,REDGOAL,451.04479694879984,283.25104958207277,5,3.7499999999999947
contain_sc1_var_l1_complex_l3_RIGHT,131,60,REDGOAL,451.0332837603143,282.25732235797835,18,13.950000000000063
contain_sc1_var_l1_complex_l3_RIGHT,132,60,REDGOAL,457.1835920281765,267.8461052730597,28,26.45000000000024
contain_sc1_var_l1_complex_l3_RIGHT,133,60,REDGOAL,455.94440633165505,342.9034463025023,26,18.300000000000125
contain_sc1_var_l1_complex_l3_RIGHT,134,60,REDGOAL,450.41311072827745,337.14779309963467,7,11.150000000000023
contain_sc1_var_l1_complex_l3_RIGHT,135,60,TIMEUP,459.9844195974741,443.1057299100121,70,60.049999999998725
contain_sc1_var_l1_complex_l3_RIGHT,136,60,REDGOAL,457.20444817009883,300.2275161082153,15,15.500000000000085
contain_sc1_var_l1_complex_l3_RIGHT,137,60,REDGOAL,453.46761098111557,320.34883283149077,18,17.600000000000115
contain_sc1_var_l1_complex_l3_RIGHT,138,60,REDGOAL,452.8421268109292,261.4922596219997,2,2.1000000000000005
contain_sc1_var_l1_complex_l3_RIGHT,139,60,REDGOAL,454.71304635051877,294.0273578246153,17,15.450000000000085
contain_sc1_var_l1_complex_l3_RIGHT,140,60,REDGOAL,451.9201194350835,290.1167177551227,23,22.90000000000019
contain_sc1_var_l1_complex_l3_RIGHT,141,60,REDGOAL,459.70865648280443,261.1258043098005,16,19.050000000000136
contain_sc1_var_l1_complex_l3_RIGHT,142,60,REDGOAL,450.95959779345793,327.2331052081078,3,3.099999999999997
contain_sc1_var_l1_complex_l3_RIGHT,143,60,REDGOAL,452.67733120968177,265.90462270327396,22,24.150000000000208
contain_sc1_var_l1_complex_l3_RIGHT,144,60,REDGOAL,452.17396928873427,251.03978039737513,2,2.000000000000001
contain_sc1_var_l1_complex_l3_RIGHT,145,60,REDGOAL,452.58333785489856,342.8097012013581,25,24.800000000000217
contain_sc1_var_l1_complex_l3_RIGHT,146,60,REDGOAL,455.7177082700796,245.29418110458582,2,1.950000000000001
contain_sc1_var_l1_complex_l3_RIGHT,147,60,REDGOAL,456.869274939922,269.1263470920998,17,16.750000000000103
contain_sc1_var_l1_complex_l3_RIGHT,148,60,REDGOAL,451.4977121015105,342.8977551588384,12,13.00000000000005
contain_sc1_var_l1_complex_l3_RIGHT,149,60,REDGOAL,453.8657051623644,345.5135617389548,11,12.35000000000004
contain_sc1_var_l1_complex_l3_RIGHT,150,60,REDGOAL,457.87888955121906,324.7215482247556,3,2.6999999999999984
contain_sc1_var_l1_complex_l3_RIGHT,151,60,REDGOAL,460.36337974668436,237.31150517281083,21,18.450000000000127
contain_sc1_var_l1_complex_l3_RIGHT,152,60,REDGOAL,455.0490630102323,310.5123948662307,4,4.249999999999993
contain_sc1_var_l1_complex_l3_RIGHT,153,60,REDGOAL,461.38327381080455,275.26893512126657,48,47.09999999999946
contain_sc1_var_l1_complex_l3_RIGHT,154,60,REDGOAL,455.4106296333398,324.94158029865645,14,12.900000000000048
contain_sc1_var_l1_complex_l3_RIGHT,155,60,REDGOAL,457.86291919144213,295.29799546126344,20,15.600000000000087
contain_sc1_var_l1_complex_l3_RIGHT,156,60,REDGOAL,453.2210515690671,255.82285782145888,2,2.000000000000001
contain_sc1_var_l1_complex_l3_RIGHT,157,60,REDGOAL,452.7575967577399,293.6334941118176,31,30.6000000000003
